audio_path,extension,bytes,sha256,decode_status,sample_rate_hz,channels,frames,duration_ms,subtype,peak_abs,rms_dbfs,silence_ratio,clipping_ratio,qc_status,duplicate_paths,qc_reasons
S8.wav,.wav,8762146,8b53f2a786d0f5d95f73b8caa32bc247a088c5676d4eef80275a608bfcbb9c51,decoded,44100,1,4381051,99343.56,PCM_16,1.0,-24.068,0.087577,1e-06,technical_pass,[],
S8_Caroline Ringquist.m4a,.m4a,3842973,f27210303b4e405cb31f3f30d04d960e1dd9f25c0bd87b52365bcf6020f5a01c,decoder_unavailable,,,,,,,,,,needs_review,[],decode_error:LibsndfileError
S9.wav,.wav,13396912,da8cc7f742404c17d4151936bf6e91432c262ce7be969e4d5a3a53e7a9f37b62,decoded,48000,2,3349217,69775.354,PCM_16,0.472992,-25.536,5.7e-05,0.0,technical_pass,[],
text2_S1.wav,.wav,7111378,3b37fd5745abde5fd3749616f21684c9ae7e537add6321e0dfd3fe829289574a,decoded,16000,1,3555667,222229.188,PCM_16,0.967102,-19.187,0.022979,0.0,technical_pass,[],
text2_S11.wav,.wav,6315928,62a7ead1c9a375904b0f8af5af18057da96970cc41d103dbbea73e8803f65a66,decoded,16000,1,3157942,197371.375,PCM_16,0.350647,-33.707,0.083735,0.0,technical_pass,[],
text2_S14.wav,.wav,7221346,2012c859530fedf99aa75ea2e3ba4c3bdf84ac3b1043d4f4687769f1a432d08c,decoded,16000,1,3610651,225665.688,PCM_16,0.537628,-28.841,0.099596,0.0,technical_pass,[],
text2_S15.wav,.wav,4834390,cbe80f1de2de8d77bb00b0ac9f7efacbf5b9f46695c1899d9323104bb34880be,decoded,16000,1,2417173,151073.312,PCM_16,0.570709,-26.855,0.034281,0.0,technical_pass,[],
text2_S2.wav,.wav,5627516,9d510963733018fd5ef53226133b58a53482135c38115fb7368386a3067c5a6e,decoded,16000,1,2813736,175858.5,PCM_16,0.876862,-19.907,0.06296,0.0,technical_pass,[],
text2_S4.wav,.wav,11870512,e0d36c6b023cfa37bcd467c6d103ef1a496faf97b1a2f5f405a0b20dfa390571,decoded,16000,1,5935234,370952.125,PCM_16,0.108551,-47.541,0.57562,0.0,technical_pass,[],
text2_S5.wav,.wav,8615136,59bd552e530bf9b87048e3e27c53515d4d256fe403c8a75ca5ac7513efb3ce38,decoded,16000,1,4307546,269221.625,PCM_16,0.885468,-20.973,0.03679,0.0,technical_pass,[],
text2_S6.wav,.wav,7419224,1f2bdafa59edcf115e808c3a75c9792f47c93592864d692aa0a923621248fdb8,decoded,16000,1,3709590,231849.375,PCM_16,0.691223,-25.468,0.12835,0.0,technical_pass,[],
text2_S7.wav,.wav,6941830,b747b4919d2e91d5b1c3f6d790acd69c74b1226b935cce2b143e3ce19f9416e1,decoded,16000,1,3470893,216930.812,PCM_16,0.921875,-20.677,0.025791,0.0,technical_pass,[],
text2_S9.wav,.wav,5430402,398486fd119fcfcb8ab8b12cd695d36a35b73c4ab69512a7603a9f3ce1699e6b,decoded,16000,1,2715179,169698.688,PCM_16,0.227875,-32.158,0.087916,0.0,technical_pass,[],
